time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,loc_name,loc_admin1,loc_admin2,loc_cc
19:59.0,34.684,-96.483,5,2.1,md,,,,,us,usp0002xs2,2014-11-07T00:38:57.591Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ada,Oklahoma,Pontotoc County,US
33:17.4,34.477,-96.503,5,2.6,mblg,,,,,us,usp0002xu1,2014-11-07T00:38:58.246Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Coalgate,Oklahoma,Coal County,US
00:12.0,34.192,-96.855,5,1.7,md,,,,,us,usp0002zkq,2014-11-07T00:39:17.139Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Oakland,Oklahoma,Marshall County,US
53:38.6,34.957,-97.526,5,1.8,mblg,,,,,us,usp00030e1,2014-11-07T00:39:23.213Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
16:56.5,35.125,-97.541,5,1.9,mblg,,,,,us,usp00030e4,2014-11-07T00:39:23.219Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Goldsby,Oklahoma,McClain County,US
12:15.9,35.158,-97.671,5,1.8,mblg,,,,,us,usp00030ed,2014-11-07T00:39:23.257Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Blanchard,Oklahoma,McClain County,US
50:11.8,35.766,-97.328,5,2.4,mblg,,,,,us,usp00030qz,2014-11-07T00:39:28.752Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Guthrie,Oklahoma,Logan County,US
56:18.5,34.959,-96.642,5,1.6,md,,,,,us,usp00030vt,2014-11-07T00:39:29.701Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Byng,Oklahoma,Pontotoc County,US
32:58.1,35.142,-96.676,5,2.8,mblg,,,,,us,usp0003124,2014-11-07T00:39:30.915Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Seminole,Oklahoma,Seminole County,US
10:47.6,34.572,-97.204,5,1.6,md,,,,,us,usp000313h,2014-11-07T00:39:31.132Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Wynnewood,Oklahoma,Garvin County,US
46:17.4,35.399,-95.839,5,1.7,md,,,,,us,usp000314r,2014-11-07T00:39:31.268Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Henryetta,Oklahoma,Okmulgee County,US
00:49.3,34.815,-97.576,5,1.9,md,,,,,us,usp00031ej,2014-11-07T00:39:37.489Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
21:50.0,34.552,-97.425,5,2.3,mblg,,,,,us,usp00031jc,2014-11-07T00:39:38.709Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Maysville,Oklahoma,Garvin County,US
13:53.8,35.051,-97.517,5,2.3,mblg,,,,,us,usp00031r1,2014-11-07T00:39:39.632Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Goldsby,Oklahoma,McClain County,US
08:17.0,35.828,-98.097,5,3.1,mblg,,,,,us,usp00031wk,2014-11-07T00:39:40.654Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Okarche,Oklahoma,Canadian County,US
45:23.9,34.757,-97.58,5,1.7,md,,,,,us,usp0003265,2014-11-07T00:39:46.963Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
50:11.5,34.846,-97.488,5,2.1,mblg,,,,,us,usp00032kx,2014-11-07T00:39:52.856Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Maysville,Oklahoma,Garvin County,US
04:07.2,35.308,-96.62,5,1.9,mblg,,,,,us,usp00032sc,2014-11-07T00:39:53.955Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Seminole,Oklahoma,Seminole County,US
43:03.5,34.79,-96.331,5,2.8,mblg,,,,,us,usp00033a0,2014-11-07T00:40:03.986Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Coalgate,Oklahoma,Coal County,US
29:07.5,35.455,-97.749,5,2.1,md,,,,,us,usp000350x,2014-11-07T00:40:24.945Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Yukon,Oklahoma,Canadian County,US
41:04.9,35.89,-97.236,5,1.7,mblg,,,,,us,usp000352e,2014-11-07T00:40:25.132Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Langston,Oklahoma,Logan County,US
01:19.8,35.878,-97.264,5,1.5,md,,,,,us,usp000352u,2014-11-07T00:40:25.217Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Langston,Oklahoma,Logan County,US
18:02.7,34.683,-97.276,5,1.6,md,,,,,us,usp00035b7,2014-11-07T00:40:26.990Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Pauls Valley,Oklahoma,Garvin County,US
44:33.2,34.615,-97.38,5,2.9,mblg,,,,,us,usp00035f0,2014-11-07T00:40:29.543Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Pauls Valley,Oklahoma,Garvin County,US
25:37.0,34.707,-96.555,5,1.9,md,,,,,us,usp00035fy,2014-11-07T00:40:29.954Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ada,Oklahoma,Pontotoc County,US
35:24.3,35.165,-95.28,5,1.5,md,,,,,us,usp00035ks,2014-11-07T00:40:31.544Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Quinton,Oklahoma,Pittsburg County,US
21:56.7,35.118,-96.347,5,1.9,mblg,,,,,us,usp00035vt,2014-11-07T00:40:32.970Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Holdenville,Oklahoma,Hughes County,US
26:21.0,34.335,-96.726,5,1.7,md,,,,,us,usp0003668,2014-11-07T00:40:34.486Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Tishomingo,Oklahoma,Johnston County,US
43:48.2,34.664,-97.394,5,2.6,mblg,,,,,us,usp0003b0v,2014-11-07T00:41:21.378Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Maysville,Oklahoma,Garvin County,US
44:01.0,34.581,-97.348,5,2,md,,,,,us,usp0003b16,2014-11-07T00:41:21.463Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Wynnewood,Oklahoma,Garvin County,US
42:40.3,36.055,-98.024,5,3.7,mblg,,,,,us,usp0003b2c,2014-11-07T00:41:21.878Z,Oklahoma,earthquake,,,,,reviewed,tul,us,Hennessey,Oklahoma,Kingfisher County,US
